--------------------------
-- Сбор таблицы товаров ВКонтакте
-- Расчёт выполнен при помощи сервиса https://vk.barkov.net/marketitems.aspx
--------------------------
--------------------------
-- Просматриваемые сообщества:
-- vapcbuild
-- maxxpc
-- bzone54
-- compshop_ru
-- ofosters
-- construct_pc_ekb
-- royal_computers
-- kritos_group
ССЫЛКА НА ТОВАР;НАЗВАНИЕ;ЦЕНА;ОПИСАНИЕ;ДАТА И ВРЕМЯ;ПОДБОРКИ;КАТЕГОРИЯ;СЕКЦИЯ;АРТИКУЛ;ТОВАРОВ В НАЛИЧИИ;НАЛИЧИЕ;НАЗВАНИЕ ГРУППЫ;АДРЕС ГРУППЫ;ФОТО-ПРЕВЬЮ
https://vk.com/market/product/r7-7700-rtx-5070-218975719-13554376;R7 7700 + RTX 5070;179990;Характеристики:	🟣Процессор: AMD Ryzen 7 7700	🟣Видеокарта: Inno3D GeForce RTX 5070 TWIN X2 OC WHITE	🟣Материнская плата: GIGABYTE B850M AORUS ELITE WIFI6E ICE	🟣Оперативная память: DDR5 32 ГБ (16x2) 6000 МГЦ WH	🟣Охлаждение процессора: DEEPCOOL MYSTIQUE 240 WH ARGB	🟣Накопители: ADATA XPG S70 BLADE 1000гб	🟣Блок питания: DEEPCOOL PL750D WH	🟣Корпус: JONSBO TK-1 2.0 белый	🟣Корпусные вентиляторы: 2шт ARGB WH		Конфигурацию компьютера можно изменить индивидуально под Вас:	- Замена процессора/видеокарты/материнской платы/охлаждения/блока питания/корпуса	- Увеличение объема оперативной/внутренней памяти	- Дополнительные комплектующие и/или аксессуары (wifi/bluetooth адаптер, райзер/держатель для видеокарты, корпусные кулеры, радиатор на SSD и тд)		✅В сборку также входит:	- Продуманный кабель-менеджмент	- Диагностика и стресс-тестирование комплектующих после сборки	- Обновленный и настроенный BIOS с XMP профилями	- Установка активированной Windows 10/11 + драйвера	- Установка пакета программ Microsoft Office	- Гарантия от 1 года на всю сборку	- Тех. поддержка на протяжении всего пользования компьютером		Для заказа ПК пишите в сообщения группы:	https://vk.com/vapcbuild;;;Игровые компьютеры;;S1W;;в наличии;VA-PC  | Сборка ПК на заказ;https://vk.com/club218975719;https://sun9-44.userapi.com/impg/-L_DpShL15n9wHze5p-s8SKUlO5KeW7hZag7iA/uTO4LN4gSfg.jpg?size=0x400&crop=0,0,1,1&quality=95&sign=87bf6470f383620e37fc352077d32640&c_uniq_tag=wCMjsxXm_rA22YZq656Pwy4XtXV5HcqF4L-84Lb9PQ4
https://vk.com/market/product/i3-12100f-rtx-3050-218975719-11633941;I3-12100F + RTX 3050;63500;Характеристики:	🟣Процессор: Intel Core i3-12100F	🟣Видеокарта: Nvidia GeForce RTX 3050 8Gb	🟣Материнская плата: MSI PRO H610M-E DDR4	🟣Оперативная память: DDR4 16 ГБ (8x2) 3200 МГЦ	🟣Охлаждение процессора: JONSBO CR-1400 E Black	🟣Накопители: ADATA LEGEND m2, 500гб	🟣Блок питания: DEEPCOOL PF500X	🟣Корпус: 1STPLAYER MIKU Mi2-A		Конфигурацию компьютера можно изменить индивидуально под Вас:	- Замена процессора/видеокарты/материнской платы/охлаждения/блока питания/корпуса	- Увеличение объема оперативной/внутренней памяти	- Дополнительные комплектующие и/или аксессуары (wifi/bluetooth адаптер, райзер/держатель для видеокарты, корпусные кулеры, радиатор на SSD  и тд)		✅В сборку также входит:	- Продуманный кабель-менеджмент	- Диагностика и стресс-тестирование комплектующих после сборки	- Обновленный и настроенный BIOS с XMP профилями	- Установка активированной Windows 10/11 + драйвера	- Установка пакета программ Microsoft Office	- Гарантия от 1 года на всю сборку 	- Тех. поддержка на протяжении всего пользования компьютером		🎮Тесты этого ПК в играх:	●Forza Horizon 5 — 170FPS FULLHD LOW	●Cyberpunk 2077 — 65FPS FULLHD LOW	●GTA V — 110FPS FULLHD LOW	●CS 2 — 170FPS FULLHD LOW	●PUBG — 125FPS FULLHD LOW	●Fortnite — 235FPS FULLHD LOW	●Rust — 80FPS FULLHD LOW	●Atomic Heart — 60FPS FULLHD LOW	●Hogwarts Legacy — 60FPS FULLHD LOW	●God of War — 55FPS FULLHD LOW	●RDR 2 — 60FPS FULLHD LOW	●Apex Legends — 185FPS FULLHD LOW	●Dota 2 — 160FPS FULLHD LOW		Для заказа ПК пишите в сообщения группы:	https://vk.com/vapcbuild;;;Игровые компьютеры;;b3;;в наличии;VA-PC  | Сборка ПК на заказ;https://vk.com/club218975719;https://sun9-24.userapi.com/impg/4pNZDg6c_07X1EFtdCy8m7iM-qPUOmEkNdwABw/06RJjlO-4-M.jpg?size=0x400&crop=0,0,1,1&quality=95&sign=f6649ae9d7c15ca3200157f083e263ab&c_uniq_tag=N6OkM1RPdnHop247gJVRYHnhw92jT1Mw29vHkjAvi0I
https://vk.com/market/product/i3-12100f-rtx-4060-218975719-11633936;I3-12100F + RTX 4060;75500;Характеристики:	🟣Процессор: Intel Core i3-12100F	🟣Видеокарта: Nvidia GeForce RTX 4060 8Gb	🟣Материнская плата: MSI PRO H610M-E DDR4	🟣Оперативная память: DDR4 16 ГБ (8x2) 3200 МГЦ	🟣Охлаждение процессора: JONSBO CR-1400 E Black	🟣Накопители: ADATA LEGEND m2, 500гб	🟣Блок питания: DEEPCOOL PF600X	🟣Корпус: 1STPLAYER MIKU Mi2-A		Конфигурацию компьютера можно изменить индивидуально под Вас:	- Замена процессора/видеокарты/материнской платы/охлаждения/блока питания/корпуса	- Увеличение объема оперативной/внутренней памяти	- Дополнительные комплектующие и/или аксессуары (wifi/bluetooth адаптер, райзер/держатель для видеокарты, корпусные кулеры, радиатор на SSD  и тд)		✅В сборку также входит:	- Продуманный кабель-менеджмент	- Диагностика и стресс-тестирование комплектующих после сборки	- Обновленный и настроенный BIOS с XMP профилями	- Установка активированной Windows 10/11 + драйвера	- Установка пакета программ Microsoft Office	- Гарантия от 1 года на всю сборку 	- Тех. поддержка на протяжении всего пользования компьютером		🎮Тесты этого ПК в играх:	● Forza Horizon 5 — 75FPS FULLHD EXTREME 	● Cyberpunk 2077 — 75FPS FULLHD ULTRA	● GTA V —  110FPS FULLHD VERY HIGH	● CS 2 —  280FPS FULLHD LOW	● PUBG — 230FPS FULLHD LOW 	● Fortnite — 260FPS FULLHD LOW	● Rust — 105FPS FULLHD MEDIUM	● Atomic Heart — 90FPS 2K ULTRA	● Hogwarts Legacy — 80FPS FULLHD ULTRA 	● God of War —  70FPS FULLHD MEDIUM	● RDR 2 — 95FPS FULLHD MEDIUM	● Apex Legends — 290FPS FULLHD LOW 	● Dota 2 — 155FPS FULLHD ULTRA		Для заказа ПК пишите в сообщения группы:	https://vk.com/vapcbuild;;Intel;Игровые компьютеры;;b2;;в наличии;VA-PC  | Сборка ПК на заказ;https://vk.com/club218975719;https://sun9-58.userapi.com/impg/qkLP4Jk5P-v1sYJh87XN4BVaBoS6E-zMOu__Ug/t9N_t00E2Ts.jpg?size=0x400&crop=0,0,1,1&quality=95&sign=9aff5455283fc98e03921131a3bca7de&c_uniq_tag=O_rRPTu9CNeg80OLopyJpJJa557BXrQj5EKgQqJaxQo
https://vk.com/market/product/r5-5500-rtx-3050-218975719-11633955;R5 5500 + RTX 3050;66700;Характеристики:	🟣Процессор: AMD Ryzen 5 5500	🟣Видеокарта: Nvidia GeForce RTX 3050 8Gb	🟣Материнская плата: GIGABYTE A520M H 	🟣Оперативная память: DDR4 16 ГБ (8x2) 3200 МГЦ	🟣Охлаждение процессора: JONSBO CR-1400 E Black	🟣Накопители: ADATA LEGEND m2, 500гб	🟣Блок питания: DEEPCOOL PF500X	🟣Корпус: 1STPLAYER MIKU Mi2-A 		Конфигурацию компьютера можно изменить индивидуально под Вас:	- Замена процессора/видеокарты/материнской платы/охлаждения/блока питания/корпуса	- Увеличение объема оперативной/внутренней памяти	- Дополнительные комплектующие и/или аксессуары (wifi/bluetooth адаптер, райзер/держатель для видеокарты, корпусные кулеры, радиатор на SSD  и тд)		✅В сборку также входит:	- Продуманный кабель-менеджмент	- Диагностика и стресс-тестирование комплектующих после сборки	- Обновленный и настроенный BIOS с XMP профилями	- Установка активированной Windows 10/11 + драйвера	- Установка пакета программ Microsoft Office	- Гарантия от 1 года на всю сборку 	- Тех. поддержка на протяжении всего пользования компьютером		🎮Тесты этого ПК в играх:	● Forza Horizon 5 — 180FPS FULLHD LOW	● Cyberpunk 2077 — 65FPS FULLHD LOW	● GTA V — 135FPS FULLHD LOW	● CS 2 — 210FPS FULLHD LOW	● PUBG — 155FPS FULLHD LOW	● Fortnite — 265FPS FULLHD LOW	● Rust — 85FPS FULLHD LOW	● Atomic Heart — 55FPS FULLHD LOW	● Hogwarts Legacy — 60FPS FULLHD LOW	● God of War — 55FPS FULLHD LOW	● RDR 2 — 65FPS FULLHD LOW	● Apex Legends — 190FPS FULLHD LOW	● Dota 2 — 155FPS FULLHD LOW		Для заказа ПК пишите в сообщения группы:	https://vk.com/vapcbuild;;AMD;Игровые компьютеры;;b4;;в наличии;VA-PC  | Сборка ПК на заказ;https://vk.com/club218975719;https://sun9-27.userapi.com/impg/c3fRNgGFsBBkmiBngQokQl0YGSCdjcYvT9w-cw/d9ROE5thD9A.jpg?size=0x400&crop=0,0,1,1&quality=95&sign=9c339ae4b031ab3a4f088e5ae886ed8a&c_uniq_tag=LEvyT2gaKSA5PVoHcYCTbYjl4uVuRLn0u99-45ose3g
https://vk.com/market/product/r5-5500-rtx-2060-super-218975719-11633960;R5 5500 + RTX 2060 SUPER;70100;Характеристики:	🟣Процессор: AMD Ryzen 5 5500	🟣Видеокарта: Nvidia GeForce RTX 2060 SUPER 8Gb	🟣Материнская плата: GIGABYTE A520M H	🟣Оперативная память: DDR4 16 ГБ (8x2) 3200 МГЦ	🟣Охлаждение процессора: JONSBO CR-1400 E Black	🟣Накопители: ADATA LEGEND m2, 500гб	🟣Блок питания: DEEPCOOL PF500X	🟣Корпус: 1STPLAYER MIKU Mi2-A		Конфигурацию компьютера можно изменить индивидуально под Вас:	- Замена процессора/видеокарты/материнской платы/охлаждения/блока питания/корпуса	- Увеличение объема оперативной/внутренней памяти	- Дополнительные комплектующие и/или аксессуары (wifi/bluetooth адаптер, райзер/держатель для видеокарты, корпусные кулеры, радиатор на SSD  и тд)		✅В сборку также входит:	- Продуманный кабель-менеджмент	- Диагностика и стресс-тестирование комплектующих после сборки	- Обновленный и настроенный BIOS с XMP профилями	- Установка активированной Windows 10/11 + драйвера	- Установка пакета программ Microsoft Office	- Гарантия от 1 года на всю сборку 	- Тех. поддержка на протяжении всего пользования компьютером		🎮Тесты этого ПК в играх:	● Forza Horizon 5 — 210FPS FULLHD LOW	● Cyberpunk 2077 — 90FPS FULLHD LOW	● GTA V — 165FPS FULLHD LOW	● CS 2 — 255FPS FULLHD LOW	● PUBG — 165FPS FULLHD LOW	● Fortnite — 305FPS FULLHD LOW	● Rust — 90FPS FULLHD LOW	● Atomic Heart — 75FPS FULLHD LOW	● Hogwarts Legacy — 70FPS FULLHD LOW	● God of War — 60FPS FULLHD LOW	● RDR 2 — 70FPS FULLHD LOW	● Apex Legends — 225FPS FULLHD LOW	● Dota 2 — 180FPS FULLHD LOW		Для заказа ПК пишите в сообщения группы:	https://vk.com/vapcbuild;;AMD;Игровые компьютеры;;b5;;в наличии;VA-PC  | Сборка ПК на заказ;https://vk.com/club218975719;https://sun9-80.userapi.com/impg/VJdnmnMyQxPJdPTulTxO9bF5YNglKGZMsUSjvQ/qvpNF-FUvkc.jpg?size=0x400&crop=0,0,1,1&quality=95&sign=4def44685d3f98cc20bb457f96c97f60&c_uniq_tag=3DCn2C5Cr5Iw7BmfoTIiWjjG7CyiJMJJNaG7vQEBEeo
https://vk.com/market/product/i3-12100f-rtx-2060-super-218975719-11633910;I3-12100F + RTX 2060 SUPER;64000;Характеристики:	🟣Процессор: Intel Core i3-12100F	🟣Видеокарта: Nvidia GeForce RTX 2060 SUPER 8Gb	🟣Материнская плата: MSI PRO H610M-E DDR4	🟣Оперативная память: DDR4 16 ГБ (8x2) 3200 МГЦ	🟣Охлаждение процессора: JONSBO CR-1400 E Black	🟣Накопители: ADATA LEGEND m2, 500гб	🟣Блок питания: DEEPCOOL PF500X	🟣Корпус: 1STPLAYER MIKU Mi2-A		Конфигурацию компьютера можно изменить индивидуально под Вас:	- Замена процессора/видеокарты/материнской платы/охлаждения/блока питания/корпуса	- Увеличение объема оперативной/внутренней памяти	- Дополнительные комплектующие и/или аксессуары (wifi/bluetooth адаптер, райзер/держатель для видеокарты, корпусные кулеры, радиатор на SSD  и тд)		✅В сборку также входит:	- Продуманный кабель-менеджмент	- Диагностика и стресс-тестирование комплектующих после сборки	- Обновленный и настроенный BIOS с XMP профилями	- Установка активированной Windows 10/11 + драйвера	- Установка пакета программ Microsoft Office	- Гарантия от 1 года на всю сборку 	- Тех. поддержка на протяжении всего пользования компьютером		🎮Тесты этого ПК в играх:	● Forza Horizon 5 — 200FPS FULLHD LOW	● Cyberpunk 2077 — 85FPS FULLHD LOW	● GTA V — 170FPS FULLHD LOW	● CS 2 — 245FPS FULLHD LOW	● PUBG — 160FPS FULLHD LOW	● Fortnite — 280FPS FULLHD LOW	● Rust — 90FPS FULLHD LOW	● Atomic Heart — 75FPS FULLHD LOW	● Hogwarts Legacy — 65FPS FULLHD LOW	● God of War — 65FPS FULLHD LOW	● RDR 2 — 70FPS FULLHD LOW	● Apex Legends — 215FPS FULLHD LOW	● Dota 2 — 175FPS FULLHD LOW		Для заказа ПК пишите в сообщения группы:	https://vk.com/vapcbuild;;Intel;Игровые компьютеры;;b1;;в наличии;VA-PC  | Сборка ПК на заказ;https://vk.com/club218975719;https://sun9-12.userapi.com/impg/EzWz--lpOu_nRnQnn3hAm23bu7FgZjX0DBP8MA/GSWtCNpmpGc.jpg?size=0x400&crop=0,0,1,1&quality=95&sign=51f7868f849049c1a5d8ffafee56b9d9&c_uniq_tag=rrNFLN_09os_jNuSNJ8gd28hUN7zzavr3j97osZ8tfA
https://vk.com/market/product/r5-5500-rtx-4060-218975719-11633965;R5 5500 + RTX 4060;81400;Характеристики:	🟣Процессор: AMD Ryzen 5 5500	🟣Видеокарта: Nvidia GeForce RTX 4060 8Gb	🟣Материнская плата: MSI B550M PRO-VDH	🟣Оперативная память: DDR4 16 ГБ (8x2) 3200 МГЦ	🟣Охлаждение процессора: JONSBO CR-1400 E Black	🟣Накопители: ADATA LEGEND m2, 500гб	🟣Блок питания: DEEPCOOL PF600X	🟣Корпус: 1STPLAYER MIKU Mi2-A 		Конфигурацию компьютера можно изменить индивидуально под Вас:	- Замена процессора/видеокарты/материнской платы/охлаждения/блока питания/корпуса	- Увеличение объема оперативной/внутренней памяти	- Дополнительные комплектующие и/или аксессуары (wifi/bluetooth адаптер, райзер/держатель для видеокарты, корпусные кулеры, радиатор на SSD  и тд)		✅В сборку также входит:	- Продуманный кабель-менеджмент	- Диагностика и стресс-тестирование комплектующих после сборки	- Обновленный и настроенный BIOS с XMP профилями	- Установка активированной Windows 10/11 + драйвера	- Установка пакета программ Microsoft Office	- Гарантия от 1 года на всю сборку 	- Тех. поддержка на протяжении всего пользования компьютером		🎮Тесты этого ПК в играх:	● Forza Horizon 5 — 100FPS FULLHD ULTRA	● Cyberpunk 2077 — 75FPS 2K + FG	● GTA V — 175FPS FULLHD MEDIUM	● CS 2 — 380FPS 1280x1024 LOW	● PUBG — 180FPS FULLHD LOW	● Fortnite — 270FPS FULLHD MEDIUM	● Rust — 110FPS FULLHD MEDIUM	● Atomic Heart —  65FPS 2K MEDIUM	● Hogwarts Legacy — 90FPS FULLHD LOW	● God of War — 75FPS FULLHD MEDIUM	● RDR 2 — 90FPS FULLHD MEDIUM	● Apex Legends —  255FPS MEDIUM	● Dota 2 — 125FPS 2K MEDIUM		Для заказа ПК пишите в сообщения группы:	https://vk.com/vapcbuild;;AMD;Игровые компьютеры;;b6;;в наличии;VA-PC  | Сборка ПК на заказ;https://vk.com/club218975719;https://sun9-22.userapi.com/impg/AVjmQUPyicGK62HB-4DurfX-NRnBi8q-wYTPhA/f-yZVJFTV3Q.jpg?size=0x400&crop=0,0,1,1&quality=95&sign=45ce5721c41b757a2da00a54efd72778&c_uniq_tag=9F7OXJz_je5L2eLje0zT-0wHgAarX_ENV-0_cGYYSpM
https://vk.com/market/product/r5-5500-rtx-4060-218975719-11633971;R5 5500 + RTX 4060;82500;Характеристики:	🟣Процессор: AMD Ryzen 5 5500	🟣Видеокарта: Nvidia GeForce RTX 4060 8Gb	🟣Материнская плата: MSI B550M PRO-VDH	🟣Оперативная память: DDR4 16 ГБ (8x2) 3200 МГЦ	🟣Охлаждение процессора: JONSBO CR-1400 E WHITE	🟣Накопители: ADATA LEGEND m2, 500гб	🟣Блок питания: DEEPCOOL PF600X	🟣Корпус: 1STPLAYER MIKU Mi2-A		Конфигурацию компьютера можно изменить индивидуально под Вас:	- Замена процессора/видеокарты/материнской платы/охлаждения/блока питания/корпуса	- Увеличение объема оперативной/внутренней памяти	- Дополнительные комплектующие и/или аксессуары (wifi/bluetooth адаптер, райзер/держатель для видеокарты, корпусные кулеры, радиатор на SSD  и тд)		✅В сборку также входит:	- Продуманный кабель-менеджмент	- Диагностика и стресс-тестирование комплектующих после сборки	- Обновленный и настроенный BIOS с XMP профилями	- Установка активированной Windows 10/11 + драйвера	- Установка пакета программ Microsoft Office	- Гарантия от 1 года на всю сборку 	- Тех. поддержка на протяжении всего пользования компьютером		🎮Тесты этого ПК в играх:	● Forza Horizon 5 — 100FPS FULLHD ULTRA	● Cyberpunk 2077 — 75FPS 2K + FG	● GTA V — 175FPS FULLHD MEDIUM	● CS 2 — 380FPS 1280x1024 LOW	● PUBG — 180FPS FULLHD LOW	● Fortnite — 270FPS FULLHD MEDIUM	● Rust — 110FPS FULLHD MEDIUM	● Atomic Heart —  65FPS 2K MEDIUM	● Hogwarts Legacy — 90FPS FULLHD LOW	● God of War — 75FPS FULLHD MEDIUM	● RDR 2 — 90FPS FULLHD MEDIUM	● Apex Legends —  255FPS MEDIUM	● Dota 2 — 125FPS 2K MEDIUM		Для заказа ПК пишите в сообщения группы:	https://vk.com/vapcbuild	;;AMD;Игровые компьютеры;;b8;;в наличии;VA-PC  | Сборка ПК на заказ;https://vk.com/club218975719;https://sun9-10.userapi.com/impg/UFynVuM0AK3Z5r8N6sByPDT0HJnrGaZe3Hpltw/vbcbRRYkIFA.jpg?size=400x0&crop=0,0,1,1&quality=95&sign=e587810ed47bfd07cda7822814f83ec2&c_uniq_tag=QBGmhn2Y7KmH96Tdq4wnq_ur7MIY9xpofEqacTQRi38
https://vk.com/market/product/i3-12100f-rtx-4060-218975719-11633968;I3-12100F + RTX 4060;77500;Характеристики:	🟣Процессор: Intel Core i3-12100F	🟣Видеокарта: Nvidia GeForce RTX 4060 8Gb	🟣Материнская плата: MSI PRO H610M-E DDR4	🟣Оперативная память: DDR4 16 ГБ (8x2) 3200 МГЦ	🟣Охлаждение процессора: JONSBO CR-1400 E WHITE	🟣Накопители: ADATA LEGEND m2, 500гб	🟣Блок питания: DEEPCOOL PF600X	🟣Корпус: 1STPLAYER MIKU Mi2-A White		Конфигурацию компьютера можно изменить индивидуально под Вас:	- Замена процессора/видеокарты/материнской платы/охлаждения/блока питания/корпуса	- Увеличение объема оперативной/внутренней памяти	- Дополнительные комплектующие и/или аксессуары (wifi/bluetooth адаптер, райзер/держатель для видеокарты, корпусные кулеры, радиатор на SSD  и тд)		✅В сборку также входит:	- Продуманный кабель-менеджмент	- Диагностика и стресс-тестирование комплектующих после сборки	- Обновленный и настроенный BIOS с XMP профилями	- Установка активированной Windows 10/11 + драйвера	- Установка пакета программ Microsoft Office	- Гарантия от 1 года на всю сборку 	- Тех. поддержка на протяжении всего пользования компьютером		🎮Тесты этого ПК в играх:	● Forza Horizon 5 — 210FPS FULLHD LOW	● Cyberpunk 2077 — 115FPS FULLHD HIGH	● GTA V —  120FPS FULLHD ULTRA	● CS 2 —  260FPS 1280X960 MEDIUM	● PUBG — 160FPS FULLHD LOW	● Fortnite — 230FPS FULLHD PERFOMANCE  	● Rust — 115FPS FULLHD MEDIUM	● Atomic Heart — 120FPS FULLHD DLSS	● Hogwarts Legacy —  75FPS FULLHD ULTRA 	● God of War —  65FPS FULLHD ULTRA	● RDR 2 — 80FPS FULLHD MEDIUM	● Apex Legends —  245FPS FULLHD LOW 	● Dota 2 —  160FPS FULLHD ULTRA		Для заказа ПК пишите в сообщения группы:	https://vk.com/vapcbuild;;Intel;Игровые компьютеры;;b7;;в наличии;VA-PC  | Сборка ПК на заказ;https://vk.com/club218975719;https://sun9-20.userapi.com/impg/Eca626Pt7owGERu4-3jSdPYM6DyR1SWrb9MqLA/Ell5eiUJeiA.jpg?size=400x0&crop=0,0,1,1&quality=95&sign=888c393b4f081368c65f2522ec0adb88&c_uniq_tag=qOEoXvp0HyvsvK28ufpzzY1mQJ3jyMzqO8_0zx1sALg
https://vk.com/market/product/r5-7500f-rtx-5060-218975719-12605173;R5 7500F + RTX 5060;110400;Характеристики:	🟣Процессор: AMD Ryzen 5 7500F 	🟣Видеокарта: Nvidia GeForce RTX 5060 8Gb	🟣Материнская плата: MSI PRO B650M-B	🟣Оперативная память: DDR5 32 ГБ (16x2) 6000 МГЦ	🟣Охлаждение процессора:  JONSBO CR-1000 V2 PRO ARGB	🟣Накопители: ADATA XPG 1тб	🟣Блок питания: DEEPCOOL PF600X	🟣Корпус: 1STPLAYER RT5 BLACK 	🟣Вентиляторы: 5шт ARGB		Конфигурацию компьютера можно изменить индивидуально под Вас:	- Замена процессора/видеокарты/материнской платы/охлаждения/блока питания/корпуса	- Увеличение объема оперативной/внутренней памяти	- Дополнительные комплектующие и/или аксессуары (wifi/bluetooth адаптер, райзер/держатель для видеокарты, корпусные кулеры, радиатор на SSD  и тд)		✅В сборку также входит:	- Продуманный кабель-менеджмент	- Диагностика и стресс-тестирование комплектующих после сборки	- Обновленный и настроенный BIOS с XMP профилями	- Установка активированной Windows 10/11 + драйвера	- Установка пакета программ Microsoft Office	- Гарантия от 1 года на всю сборку 	- Тех. поддержка на протяжении всего пользования компьютером		🎮Тесты этого ПК в играх:	● Forza Horizon 5 — 80FPS FULLHD EXTREME	● Cyberpunk 2077 —  70FPS FULLHD ULTRA	● GTA V — 135FPS FULLHD HIGH	● CS 2 —  290FPS FULLHD LOW 	● PUBG — 250FPS FULLHD LOW 	● Fortnite — 370FPS FULLHD PERFOMANCE 	● Rust — 110FPS FULLHD ULTRA 	● Atomic Heart — 105FPS 2K ULTRA	● Hogwarts Legacy — 80FPS FULLHD ULTRA	● God of War — 75FPS FULLHD ULTRA	● RDR 2 — 70FPS FULLHD ULTRA	● Apex Legends — 225FPS FULLHD LOW 	● Dota 2 — 190FPS FULLHD LOW		Для заказа ПК пишите в сообщения группы:	https://vk.com/vapcbuild;;AMD;Игровые компьютеры;;d1;;в наличии;VA-PC  | Сборка ПК на заказ;https://vk.com/club218975719;https://sun9-88.userapi.com/impg/BOgszvmub6JYSxCThIi_AF44Wgnm1KtGlNncDA/_icVDlXbtaU.jpg?size=0x400&crop=0,0,1,1&quality=95&sign=8fd81700a3083a3b1c4336e7b97dc036&c_uniq_tag=Z15s27ala8Yao-7boIKZAYPVdpsS14YAzDwKiCFa2Og
